,content,id,lat,location,lon,time,user,user_id
84,"RT @GregLevinsky: Freshman Morgan Bovardi not backing down for @MascoGB, she's got 5 triples. Lowell still up, though, 49-42 with 4:57 left…",970829731322040320,,"Boston, MA",,2018-03-06 01:13:39,GlobeSchools,17512080
840,"Snow prepares to pummel east recovering from last week's nor'easter
https://t.co/7E3j6WT8F4 #boston",970829038100123648,,"Boston, MA",,2018-03-06 01:10:54,evankirstel,35203319
841,"When My Heart is Heavy, and the Days are Hard https://t.co/m5V6Ed8d2W via @SacredPauses",970829038087561216,,"Boston, MA",,2018-03-06 01:10:54,DorothyGreco,2241103002
842,Premier Gold Mines Limited (PG) Analysts See $0.02 E...,970829037844262912,,"Boston, MA",,2018-03-06 01:10:54,wosaikeneriki,114274155
849,I can’t forget my past and hope it don’t forget,970829033662566400,,"Boston, MA",,2018-03-06 01:10:53,BuddhaTheAlien,538222721
851,@Nicole_Cliffe A roomie &amp; I once had the ceiling of our shower collapse into our bathtub &amp; our toilets stop working… https://t.co/Qgrj5wyCKq,970829032119046144,,"Boston, MA",,2018-03-06 01:10:53,momebie,7961132
852,@sanguineas lol meow🐱,970829031720587264,,"Boston, MA",,2018-03-06 01:10:52,Carl_Mamaty83,861898899937787904
853,@tylerscactus i’m all ears,970829030923620352,,"Boston, MA",,2018-03-06 01:10:52,madisonseavey,960688994655899648
854,@GamineCuisine @laylaschlack Not really,970829030617477120,,"Boston, MA",,2018-03-06 01:10:52,butteresq,164081578
855,@Tom_Winter @HallieJackson @AriMelber Incredible interview! Completely enthralling.,970829030499999744,,"Boston, MA",,2018-03-06 01:10:52,gernburgs,44649965
856,Unless you’re absolutely fire I don’t wanna hear you sing,970829029325574144,,"Boston, MA",,2018-03-06 01:10:52,heavenreda,775103339218493440
857,RT @thecrimson: Government concentrators—some in tears—said they were frustrated and upset by alleged sexual harassment perpetrated by Gove…,970829028914532352,,"Boston, MA",,2018-03-06 01:10:52,sangichandra,2996558276
858,The printing press is the greatest weapon in the armoury of the modern commander. ~ T. E. Lawrence #quotephase #qotd,970829028117696512,,"Boston, MA",,2018-03-06 01:10:52,parrotmyquotes,835140826439245824
859,RT @ImmortalSoulTHC: I felt that.. https://t.co/w9IlBju53i,970829026989363200,,"Boston, MA",,2018-03-06 01:10:51,ImmortalSoulTHC,1666598750
86,@Calliediva I’ve been on the receiving end of that sweet talk. I’d join her team too.,970829729271046144,,"Boston, MA",,2018-03-06 01:13:39,Krazy_Flower,117626928
861,"""Building, breaking, fixing"" https://t.co/65ptitttHm",970829024967778304,,"Boston, MA",,2018-03-06 01:10:51,TolgaCanatan,2234734926
865,@CoinOlympic Good,970829020303646720,,"Boston, MA",,2018-03-06 01:10:50,dazoa78,3131443943
866,@brichellepena Where you watching it from?,970829018378489856,,"Boston, MA",,2018-03-06 01:10:49,DavidTCorporan,3121432335
